id,name,.id,x,y
1,Usaquén,12,-74.02720367179585,4.7400764059355405
2,Chapinero,9,-74.03816667321709,4.644140845239332
3,Santa Fe,10,-74.05382224926247,4.597682539655571
4,San Cristóbal,16,-74.06577264686467,4.552329318781359
5,Usme,18,-74.11376494114347,4.463591745125232
6,Tunjuelito,14,-74.13064327472799,4.562202867395563
7,Bosa,17,-74.19313886871704,4.623526299303489
8,Kennedy,6,-74.15763342787567,4.630470663001652
9,Fontibón,13,-74.15349410745371,4.679216060854924
10,Engativá,5,-74.12545808891558,4.707073784833161
11,Suba,0,-74.09310947230594,4.786460201106731
12,Barrios Unidos,8,-74.07417950967118,4.668425947696256
13,Teusaquillo,11,-74.08379458026596,4.6439079481351655
14,Los Mártires,1,-74.08275017783687,4.610907449367483
15,Antonio Nariño,2,-74.10575570665956,4.591406834582164
16,Puente Aranda,4,-74.11002869013741,4.615149401539228
17,La Candelaria,3,-74.06875962227105,4.598202500203207
18,Rafael Uribe Uribe,7,-74.10552958680661,4.560671351814759
19,Ciudad Bolívar,19,-74.16489021599126,4.509527760667814
20,Sumapaz,15,-74.28203106465287,4.0113339876263705
