id,state_code,name,lon,lat
CMX,9,Distrito Federal,-99.13801,19.27633
GRO,12,Guerrero,-99.92215,17.66778
MEX,15,México,-99.64492,19.3563
MOR,17,Morelos,-99.07466,18.74178
SIN,25,Sinaloa,-107.5095,25.00056
BCN,2,Baja California,-115.0965,30.54932
SON,26,Sonora,-110.8102,29.68697
BCS,3,Baja California Sur,-112.0672,25.9187
ZAC,32,Zacatecas,-102.6606,23.28842
DUR,10,Durango,-104.9134,24.92387
CHH,8,Chihuahua,-106.4692,28.80803
COL,6,Colima,-104.0935,19.12978
NAY,18,Nayarit,-104.8537,21.80218
MIC,16,Michoacán de Ocampo,-101.8784,19.20713
JAL,14,Jalisco,-103.6139,20.57948
CHP,7,Chiapas,-92.47312,16.48538
TAB,27,Tabasco,-92.5945,17.93757
OAX,20,Oaxaca,-96.43038,16.96068
GUA,11,Guanajuato,-101.0117,20.90665
AGU,1,Aguascalientes,-102.362,22.00599
QUE,22,Querétaro,-99.846,20.85405
SLP,24,San Luis Potosí,-100.4166,22.5855
TLA,29,Tlaxcala,-98.16804,19.42832
PUE,21,Puebla,-97.89937,19.00608
HID,13,Hidalgo,-98.88757,20.47907
VER,30,Veracruz de Ignacio de la Llave,-96.41776,19.39222
NLE,19,Nuevo León,-99.96924,25.57283
COA,5,Coahuila,-102.0442,27.29534
TAM,28,Tamaulipas,-98.64112,24.29064
YUC,31,Yucatán,-88.92687,20.75992
CAM,4,Campeche,-90.36033,18.84007
ROO,23,Quintana Roo,-88.11222,19.60302
